Nome,Endereço,Latitude,Longitude
Supermercado Müller,"R. Avelino Werner - Barra do Rio, Itajaí",-26.8890114,-48.6728114
Lua Clara Legging's,"R. Dr. José Bonifácio Malburg, 535 - Centro, Itajaí",-26.9063552,-48.6613445
sienna store,"R. Heitor Liberato, 1077 - Centro, Itajaí",-26.9056072,-48.6689125
Comida,"Av. Osvaldo Reis - Praia Brava, Itajaí",-26.9404129,-48.6412302
Thai Garden - Asian Cuisine,"Riviera Business & Mall - Av. Osvaldo Reis, 3281 - Sala 23 E 24 - Praia Brava, Itajaí",-26.9525365,-48.6397389
Divino Sushi,"Av. Osvaldo Reis - Praia Brava, Itajaí",-26.9294272,-48.6445923
Alceu Hamburguer na Brasa,"Praia Brava, Itajaí",-26.9535801,-48.64011
ROTA DO MAR PETISCARIA E CONVENIÊNCIA,"R. Florianópolis - Fazenda, Itajaí",-26.9226594,-48.6511524
Chef´s da Brasa,"Av. Osvaldo Reis, 3276 - Praia Brava, Itajaí",-26.9522547,-48.6406333
Petiscaria Cabeçudas,"R. Floriano Peixoto, 490 - Cabeçudas, Itajaí",-26.9282818,-48.6336899
Alma Brava,"R. Delfim Mário de Pádua Peixoto, 10000 - Praia Brava, Itajaí",-26.9500118,-48.63093509999999
Hilton Garden Inn Itajaí,"Av. Osvaldo Reis, 3385 - Praia Brava, Itajaí",-26.9533222,-48.63959269999999
Pousadas Ondas da Brava,"Av. José Medeiros Viêira, 2470 - Praia Brava, Itajaí",-26.9573063,-48.62959559999999
FIX BANK BANCO DIGITAL,"Av. Osvaldo Reis, 3385 - Praia Brava, Itajaí",-26.9533222,-48.63959269999999
Yaah,"Av. Osvaldo Reis, nº 3281 - sala 1405 - Praia Brava, Itajaí",-26.9523187,-48.6397494
Angelina Supermarket,"Av. Osvaldo Reis, 3585 - Praia Brava, Itajaí",-26.955054,-48.639988
Mercearia Noca,"R. Agostinho Lemos de Camargo, 46 - Praia Brava, Itajaí",-26.9565443,-48.6438414
Mercearia Vitória,"Praia Brava, Itajaí",-26.9564894,-48.64426719999999
Pratico Supermercado Praia Brava,"R. Carola Coelho, 177 - Praia Brava, Itajaí",-26.955864,-48.6315853
