Nome,Endereço,Latitude,Longitude,Categoria
Agibank - Loja Promil Blumenau Garcia,"R. Amazonas, 2960 CJ Tropical Residence, LJ 03 e 04 - Garcia, Blumenau",-26.9441941,-49.07208019999999,bank
Bistek Supermercados,"R. Amazonas, 466 - Garcia, Blumenau",-26.9270155,-49.0577238,supermarket
Casa Express,"R. Cel. Vidal Ramos, 227 - Jardim Blumenau, Blumenau",-26.9259632,-49.0632173,supermarket
Pok Burguer,"Rua: Augusto Butzke Junior, Blumenau",-26.9556173,-49.0859216,restaurant
Pousada do Galdino,"R. Alterosa, 234 - Garcia, Blumenau",-26.9533028,-49.06527699999999,hotel
Quioski Lanches e Pizzas,"R. Rui Barbosa, 645 - Progresso, Blumenau",-26.9724555,-49.0827321,restaurant
Dog e Lanche Da Familia,"R. Emílio Tallmann, 1587 - Progresso, Blumenau",-26.9634007,-49.0798772,restaurant
Restaurante Castelinho,"R. Rui Barbosa, 89 - Progresso, Blumenau",-26.9738278,-49.0776218,restaurant
Empório do Pastel,"R. Progresso, 2178 - Progresso, Blumenau",-26.9707301,-49.075899,restaurant
FT invest Soluções Financeiras,"R. Piratuba, 49 - Garcia, Blumenau",-26.938277,-49.064139,bank
Moinho Market Express,"R. República Argentina, 111 - Ponta Aguda, Blumenau",-26.9169867,-49.0640929,supermarket
Mercearia Medeiros Luz,"R. Pedro Krauss Sênior, 815 - Vorstadt, Blumenau",-26.9186328,-49.04766129999999,supermarket
Armazém Natural,"R. XV de Novembro, 1351 - Centro, Blumenau",-26.9170517,-49.0681155,supermarket
Mercado Pedro Kraus,"Vorstadt, Blumenau",-26.9178089,-49.0492538,supermarket
supermercado,"Hotel Mansiones - R. Padre Jacobs, 45 - Centro, Blumenau",-26.9202504,-49.0658579,supermarket
Bia Dixon Store,"Vorstadt, Blumenau",-26.9125104,-49.0507795,store
Conveniência Am/Pm,"R. 7 de Setembro, 2093 - Centro, Blumenau",-26.9148593,-49.0743703,store
Allan Store,"R. XV de Novembro, 759 - Centro, Blumenau",-26.9205428,-49.0675529,store
Unknow Store,"R. Camboriú, 121 - AP 701 - Victor Konder, Blumenau",-26.910507,-49.07374,store
Alameda Pet Store,"R. Frederico Guilherme Busch, 87 - Sala 03 - Jardim Blumenau, Blumenau",-26.9283621,-49.06321639999999,store
BA STORE,"R. João Pessoa, 787 - Velha, Blumenau",-26.9157963,-49.0822659,store
Loja Antônia Store,"R. Pastor Stutzer, nº77 - Jardim Blumenau, Blumenau",-26.9299856,-49.06382319999999,store
Amisis Store,"R. Floriano Peixoto, 55 - Sala 301 - Centro, Blumenau",-26.9220681,-49.0633038,store
