Nome,Endereço,Latitude,Longitude
Costaneiras Grill,"Av. das Itaúbas 3798 (Setor Comercial), Sinop",-11.85158920288086,-55.509220123291016
Bar e Lanchonete Caiçara - St Comercial,"Av. Gov. Júlio Campos 1000, Sinop, MT, 78550-000",-11.855029106140137,-55.50714874267578
Leques Brasil Hotel Escola,"Rua São Joaquim 216, São Paulo, SP, 01508-000",-23.561805725097656,-46.636695861816406
Colégio Alef,"Rua dos Cajueiros 1855, Sinop, MT, 78550-162",-11.848984718322754,-55.5103874206543
Posto Petrobras,"Av. dos Jatobás 853 (Jardim Celeste), Sinop, MT",-11.880992889404297,-55.50871276855469
Auto Posto Rota Sinop,"Av. dos Ingas 3771, Sinop, MT, 78555-024",-11.839813232421875,-55.51329803466797
Supermercado Araguaia,"2229 (Rua das Violetas), Sinop, MT, 78552-205",-11.830074310302734,-55.50692367553711
Vitoria Palace Hotel,"Rua Colonizador Ênio Pipino 1417, Sinop, 78557-477",-11.876028060913086,-55.499664306640625
Clínica de Olhos Sinop,"Rua das Nogueiras 979, Sinop, MT, 78550-000",-11.855996131896973,-55.50672912597656
Laboratório Oswaldo Cruz - Unidade Anexo ao Hospital Santo Antônio,"Av dos Flamboyants 2145, Sinop, MT, 78556-144",-11.86860179901123,-55.517982482910156
Instituto Ortopédico Sinop,"Av. dos Tarumãs 1025 (Jardim Botânico), Sinop, MT, 78556-056",-11.863265991210938,-55.504947662353516
Auto Posto Peniel,"Av. dos Tarumãs 2201, Sinop, MT, 78557-446",-11.861933708190918,-55.51456069946289
Auto Escola Visão,"Av. das Sibipirunas 2957, Sinop, MT, 78550-000",-11.860563278198242,-55.503211975097656
Ctr - Clínica de Tratamento Renal,"Av. dos Flamboyants 2128, qd. 33, lt. 26, Sinop, MT, 78550-000",-11.868388175964355,-55.517608642578125
L A Farmácia,"Av. dos Jacarandas 2809A, Sinop, MT",-11.864104270935059,-55.49967956542969
Restaurante King\u0027s Pub,"Castanheiras 273, Sinop, MT, 78550-256",-11.855304718017578,-55.49998474121094
Churrascaria Boi Dourado,"Av. das Sibipirunas 3040 (Centro), Sinop, MT, 78550-000",-11.86014461517334,-55.50278091430664
Hospital dos Brinquedos e dos Telefones,"Rua das Azaléias 2010, Sinop, MT, 78550-176",-11.851941108703613,-55.50787353515625
Restaurante Terra Rica,"Av. das Figueiras 1233, Sinop, MT, 78550-270",-11.852728843688965,-55.5057258605957
Farmacia Farmaserv,"Av. das Figueiras 2113, Sinop, MT, 78550-148",-11.855938911437988,-55.49614715576172
Hospital e Maternidade Dois Pinheiros - Jd Botânico,"Av. dos Tarumãs 743 (Jardim Botânico), Sinop, MT, 78556-000",-11.86489486694336,-55.50262451171875
Central Farma - Júlio Campos,"Av. Gov. Júlio Campos 3488, Sinop, MT, 78550-286",-11.854649543762207,-55.50879669189453
Transamerica FIT Sinop,"1996 Avenida das Embaúbas, qd. 113, lt. 11, Sinop, MT, 78550-110",-11.856058120727539,-55.51359939575195
Escola Municipal de Educacao Basica Sadao Watanabe,"Rua dos Agapantos 550, Sinop, MT, 78550-422",-11.838640213012695,-55.49365234375
The Grill,"Av. das Acacias 353, Sinop, MT, 78556-060",-11.86702823638916,-55.509273529052734
Chale do Italiano,"Av. das Figueiras 457, Sinop, MT, 78550-254",-11.85493278503418,-55.498775482177734
Carmita Empório Gourmet,"Avenue Sibipirunas 2958, Sinop, MT, 78550-031",-11.859143257141113,-55.50253677368164
Garcia Palace Hotel,"Av. dos Tarumãs 289, Sinop, MT, 78556-000",-11.865904808044434,-55.49956512451172
Restaurante Chao Goiano,"Av. das Acacias 667 (Vl Linda), Sinop, MT, 78556-060",-11.864456176757812,-55.50859451293945
Auto Posto Tominaga,"Av. dos Jacarandás 2503, Sinop, MT, 78556-010",-11.864837646484375,-55.49998092651367
Auto Posto Cata-Vento,"Av. dos Ingás 4030, Sinop, MT, 78552-000",-11.842193603515625,-55.512516021728516
Ucayali Hotel,"Av. das Figueiras 180, Sinop, MT, 78550-000",-11.856165885925293,-55.49622344970703
Dona Zélia Restaurante,"Rua das Nogueiras 871, Sinop, MT, 78550-226",-11.856566429138184,-55.5058479309082
Vista Linda Hotel,"Estr. Parque Nacional, lj. 50, Itatiaia, RJ, 27580-000",-22.448631286621094,-44.58457946777344
